Continent,Vaccine,benefit_risk_ratio,benefit_risk_ratio_low,benefit_risk_ratio_high,child_benefit_risk_ratio,child_benefit_risk_ratio_low,child_benefit_risk_ratio_high,sibling_benefit_risk_ratio,sibling_benefit_risk_ratio_low,sibling_benefit_risk_ratio_high,parent_benefit_risk_ratio,parent_benefit_risk_ratio_low,parent_benefit_risk_ratio_high,grandparent_benefit_risk_ratio,grandparent_benefit_risk_ratio_low,grandparent_benefit_risk_ratio_high,vac_deaths_averted,vac_deaths_averted_low,vac_deaths_averted_high,covid_deaths,covid_deaths_low,covid_deaths_high,child_covid_deaths,child_covid_deaths_low,child_covid_deaths_high,sibling_covid_deaths,sibling_covid_deaths_low,sibling_covid_deaths_high,parent_covid_deaths,parent_covid_deaths_low,parent_covid_deaths_high,grandparent_covid_deaths,grandparent_covid_deaths_low,grandparent_covid_deaths_high
Africa,Diphtheria (DTP3),2.40360572840702,0.662165330477797,8.70046640246524,914.290968070303,52.5111702702661,164832.86521928,802.860688751123,46.111310078119,144743.667301104,34.4432620223907,7.24601973528276,183.186614703453,2.65883009444654,0.743858880690043,9.46695425322123,22699.5176099333,18695.6458597179,28579.9614184777,4737.96635650449,1362.76048149314,15942.8708402632,12.1011077611096,0.0677479356580989,219.094078601451,13.7806392623834,0.0771507766483867,249.502485337263,335.045513602419,64.6556204552328,1494.97806250976,4239.83777872837,1247.56187897841,14546.642551015
Africa,HepB3,1.70599294593379,0.347156935190545,48.3713571375962,726.718348521946,30.4738394514442,319584.408521383,638.064483794829,26.7562731536633,280597.64978662,25.4664802105912,3.76583573097763,974.878234623982,1.85335134931132,0.384515254894641,50.9826406704804,14302.6691481024,6623.29961048814,373305.774250203,4739.88688337497,1363.33260587405,15949.216710399,12.1036081574229,0.067761934102861,219.139349004559,13.7853059599968,0.0771769031101855,249.58697725601,335.114742517948,64.6689799491082,1495.28696296001,4241.65166273104,1248.09560990227,14552.8658839803
Africa,Hib3,11.9387550375999,3.53052638378402,43.0610757206456,4579.78617497567,256.002861759656,883865.571992332,4017.35722341613,224.563965786201,775320.856588045,168.17010800655,36.4757693744916,931.2033214849,13.1825747682912,3.87628357409604,48.2862693592191,113522.580563594,95249.5546126424,139828.362429297,4756.45522826319,1368.14348315365,16004.6890104941,12.1399806609166,0.0679655652145792,219.797883768211,13.8395747510997,0.0774807264163213,250.569529516368,336.121794463492,64.8633164369176,1499.78044371195,4256.70117311375,1252.52389146175,14604.4998991314
Africa,MCV1,171.18220936762,42.4415390422669,2504.38209083354,72191.9886305484,3321.57475588421,30190842.5977124,63375.3300380581,2915.91768551404,26503697.2945699,2450.30363406252,480.931045248341,57422.917831937,189.465987163072,45.7264017055981,2931.50915822159,478783.001086365,400350.161858378,7568253.20557774,1594.39698280094,453.401621069602,5737.0317973477,4.03703160671484,0.0226016329604517,74.0313793415651,4.59865597036112,0.0257459302970559,84.3304877863456,113.094271833074,21.4588092797207,528.594145085571,1426.80672029294,413.40337807384,5204.91217996707
Africa,MCV2,5.77046473980871,1.54070294926458,22.277488574501,2242.32359464156,123.143406443537,448890.812946182,2157.85593074725,118.50463089342,431981.229332205,82.530822474078,15.8545269340681,548.180898781511,6.44976068568104,1.76046523712227,25.0924748818311,7135.05171909298,5488.71395789306,11903.3568566303,631.354243264623,179.311670949866,2266.82262760852,1.6216479129803,0.00907892097235499,29.7378974206238,1.68512611322378,0.00943430857459884,30.901965275413,45.4291934655853,8.61985653657515,212.332643312934,563.689749272427,163.323625562243,2056.30909918076
Africa,PCV3,11.3174517393653,3.19246079885667,40.1454044311128,4490.96107911932,249.674660392147,834016.032921296,3885.77345265567,216.029297529089,721626.685851906,163.998283866099,36.4514688616738,866.296737430693,12.4636629607718,3.51960522918706,44.9748474463501,94345.6422150304,78245.7717910825,116457.767321029,4217.81514180722,1214.74369022695,14183.1608541782,10.5770334099224,0.0592154200305443,191.500268820945,12.2243475990712,0.0684378927081115,221.325371742396,292.848197138313,56.5125665513082,1306.69300913794,3782.07449344937,1112.86615378459,12976.0827250376
Africa,Pertussis (DTP3),57.1038876951773,16.5058584248993,206.421528344251,21631.3969556399,1267.66431559965,4138567.26910481,18995.045193445,1113.16624692863,3634174.55072229,819.42776299473,168.351275465122,4279.99065664629,63.3082979527713,18.0056988870641,224.846284618414,534375.632001762,437668.713814015,668935.686837419,4737.96635650449,1362.76048149314,15942.8708402632,12.1011077611096,0.0677479356580989,219.094078601451,13.7806392623834,0.0771507766483867,249.502485337263,335.045513602419,64.6556204552328,1494.97806250976,4239.83777872837,1247.56187897841,14546.642551015
Africa,RCV1,10.5035339929936,0.847729988675263,738.651639085439,5307.98363576751,88.6428061532567,3814911.74362003,4695.19487226865,78.4092939001865,3374493.0817241,173.062654887429,9.66974131746949,12757.0895964582,11.4850818067156,0.954220118612209,814.806499385788,12922.1488290817,1806.46078184897,750230.574946697,627.525625572307,178.648417008532,2257.67741095789,1.5650480929306,0.00876204251238376,28.6999658023045,1.76930881304418,0.00990561191534951,32.4457137499197,43.843593931572,8.31900064491137,204.921670002394,562.835271232728,163.076048856108,2053.19201044471
Africa,RotaC,5.41240464716699,1.53226201724484,18.9086391294982,2174.3042060846,117.7629042681,396702.069100569,1948.35645222356,105.525304932612,355477.873693842,80.4421479503301,16.9390417469933,432.520070493148,5.97178685179664,1.69878510377474,20.634184640689,21459.674126988,18974.4565864347,24605.9999855842,2001.26149805787,574.974899067489,6966.42298755281,4.8715450103412,0.0270317241312146,88.5234557154102,5.43649022437704,0.030166549559831,98.7893780316718,134.88993761927,25.8426315828649,617.581534197348,1808.74179313453,526.560859886907,6395.14332994747
Africa,Tetanus (DTP3),14.5345670515881,4.22094189211416,50.8970148100261,5715.68549811792,322.618539982409,1058122.95344424,5019.07965402859,283.299028711659,929162.982960026,205.990680361848,44.7907590975015,1150.42204521473,16.0749468448541,4.62463290614214,56.5510053575753,137067.749478942,110386.670524695,171306.488394019,4737.96635650449,1362.76048149314,15942.8708402632,12.1011077611096,0.0677479356580989,219.094078601451,13.7806392623834,0.0771507766483867,249.502485337263,335.045513602419,64.6556204552328,1494.97806250976,4239.83777872837,1247.56187897841,14546.642551015
Africa,YFV,33.2011322306828,8.64241244475225,121.977129890077,13241.5953098134,717.069182654467,2670346.20700807,10428.37659174,564.725571511021,2103022.72690414,476.302899556119,99.9261317648615,2582.25179805939,36.4620930129262,9.37079325352119,133.458588956259,48522.4172806088,34926.2101455091,69611.0914548493,736.837441007192,209.697615720939,2651.37524732991,1.83601294267929,0.0102790601322154,33.6689389326138,2.33130633101563,0.0130519983852369,42.7516651258662,51.4344615194588,9.75931214076239,240.400815833929,660.61092571785,191.405594324769,2409.87220243973
Africa,MenA,8.88075771493578,0.81937378838381,683.389493897528,4900.15271597611,88.1333416333359,3652449.07208249,3792.82212176428,68.2170755050311,2827073.04081488,134.399005202507,9.54688995885431,13326.3775770906,9.76912245451969,0.85384727141052,780.591778935732,4095.07066471942,524.591008472274,325194.356084528,236.436986742919,67.3223079960635,848.81800689546,0.566595167518241,0.00317212676564449,10.3902634078642,0.732015043110424,0.0040982427034735,13.4237451225553,15.8727189026787,3.01173209007381,74.187897782559,212.657280337013,61.6153798639713,775.76202357495
Africa,"DTP3, HepB3, Hib3, PCV3, RotaC",102.8792123572,28.9030047174523,379.964913784245,39695.1099046741,2288.78959291183,7697673.12509111,34820.2799032832,2007.71063378584,6752346.40899916,1475.65369242603,298.94794464254,8105.08134367636,114.034073307662,32.1685555695277,422.721353741939,955130.847467244,839128.415407479,1307050.32212331,4756.45522826319,1368.14348315365,16004.6890104941,12.1399806609166,0.0679655652145792,219.797883768211,13.8395747510997,0.0774807264163213,250.569529516368,336.121794463492,64.8633164369176,1499.78044371195,4256.70117311375,1252.52389146175,14604.4998991314
Africa,"MCV1, RCV1, MenA, YFV",214.867826816233,50.8734083918792,3046.11482396276,88139.3182138372,4711.55544574616,36744527.376276,77375.045169038,4136.14290215605,32256994.0756356,3210.1807133364,586.163320221522,66556.2362544678,239.371767990042,55.0029718406236,3338.86342343244,587919.401426721,468647.940017442,9965111.75227432,1594.39698280094,453.401621069602,5737.0317973477,4.03703160671484,0.0226016329604517,74.0313793415651,4.59865597036112,0.0257459302970559,84.3304877863456,113.094271833074,21.4588092797207,528.594145085571,1426.80672029294,413.40337807384,5204.91217996707
Africa,"DTP3, HepB3, Hib3, PCV3, RotaC, MCV1, RCV1, MenA, YFV, MCV2",127.305231670142,32.7778892156683,825.446529016335,49467.2369095123,2757.03575745753,16782213.9300488,43752.5302384095,2438.89677210853,14844260.9024496,1828.18346538902,370.180466563171,17785.3573011841,141.628776789246,36.2174802515106,895.29698368445,1581119.00213118,1379536.88263577,10806429.6568192,6961.00417468131,2002.56539019143,24022.127522827,17.8681612328965,0.0992642874701028,323.601040367364,20.2025880159558,0.112236953459014,365.839605050254,493.911173067932,94.8372688214956,2240.48952974212,6254.98490174421,1827.12263042014,21917.6856196816
